Cow,Primer,Group,H1,H2,H3,OR5,OR6,OR7,OR8,OR9,TA1,TA2,TA4,TA5,CP1,CO1
13,NEMA1,1,12602,11487,635,491,301,4347,3685,0,1068,250,782,430,303,146
13,NEMA1,2,12962,11133,688,238,244,4070,3387,0,861,343,728,463,269,229
13,NEMA1,3,14621,12130,855,347,334,4738,3914,0,1044,359,869,521,251,290
13,NEMA1,1_2_3,13395,11400,711,393,315,4498,3932,0,1140,343,909,475,305,251
13,NEMA1,1_2,12991,10999,699,384,253,4665,4089,0,1006,233,851,403,321,224
13,NEMA1,2_3,17601,14789,922,371,360,5524,4672,0,1472,486,1198,617,369,370
13,NEMA1,1_3,12872,11171,676,434,318,4917,4177,0,1120,301,986,571,304,235
14,NEMA1,1,12061,8922,743,379,96,2551,1672,0,1177,283,0,0,582,344
14,NEMA1,2,12499,8865,730,412,96,2594,1673,0,969,198,0,0,466,318
14,NEMA1,3,12789,9140,761,556,112,3180,2083,0,1450,308,0,0,723,376
14,NEMA1,1_2_3,15665,11471,984,526,103,3244,2084,0,1505,333,0,0,685,396
14,NEMA1,1_2,17894,12841,1089,682,118,3843,2539,0,1606,335,0,0,752,479
14,NEMA1,2_3,8146,5731,434,407,81,2367,1568,0,1090,259,0,0,514,287
14,NEMA1,1_3,13133,9671,847,474,106,2933,1947,0,1257,259,0,0,623,340
15,NEMA1,1,17357,15729,878,1863,505,8211,5531,0,1323,323,1011,591,91,0
15,NEMA1,2,17057,15872,716,1675,445,7792,5412,0,1521,348,724,521,113,76
15,NEMA1,3,13274,12320,639,1220,309,5999,3988,0,930,217,600,436,92,0
15,NEMA1,1_2_3,14965,13655,662,1573,435,7243,4856,0,1134,249,711,472,96,0
15,NEMA1,1_2,14107,12652,656,1494,442,6278,4490,0,1258,276,714,455,83,0
15,NEMA1,2_3,12373,11468,574,1248,331,6229,4276,0,1059,245,655,434,80,0
15,NEMA1,1_3,13395,12338,615,1477,366,6720,4574,0,984,235,746,497,85,0
16,NEMA1,1,16611,13883,675,100,0,267,449,0,333,156,456,181,460,482
16,NEMA1,2,17620,14574,582,112,0,260,525,0,293,181,570,248,462,524
16,NEMA1,3,16318,13789,556,95,0,298,473,0,385,168,499,243,397,407
16,NEMA1,1_2_3,15176,12724,561,94,0,279,438,0,343,142,489,210,392,440
16,NEMA1,1_2,15919,13330,572,75,0,236,455,0,398,175,530,195,465,398
16,NEMA1,2_3,16105,13880,513,90,0,236,476,0,363,177,494,227,413,338
16,NEMA1,1_3,14351,12004,495,102,0,338,594,0,448,205,636,262,518,472
17,NEMA1,1,3626,3868,0,1619,1259,10729,9255,0,1933,337,1821,899,402,218
17,NEMA1,2,3579,4014,0,1881,1401,11808,9984,0,1881,321,1657,865,419,195
17,NEMA1,3,3646,3825,0,1817,1332,10956,9444,0,1842,318,1622,774,403,195
17,NEMA1,1_2_3,4485,4739,0,2044,1673,13050,11169,0,2194,392,2013,993,492,246
17,NEMA1,1_2,4117,4473,0,1884,1480,12287,10611,0,2090,360,1882,974,461,213
17,NEMA1,2_3,3273,3430,0,1542,1133,10439,9189,0,1671,319,1485,753,379,197
17,NEMA1,1_3,3243,3301,0,1478,1190,10312,8937,0,1651,263,1407,756,327,226
13,NEMA2,1,11521,9180,649,392,262,4626,4188,0,1112,341,1128,668,482,271
13,NEMA2,2,4574,3579,166,139,118,2407,2147,0,520,154,459,247,141,76
13,NEMA2,3,13246,10567,569,340,351,5017,4303,0,1477,367,1189,658,362,263
13,NEMA2,1_2_3,11575,9340,619,352,321,4858,4227,0,1081,272,1033,580,428,260
13,NEMA2,1_2,11995,9668,567,332,337,4753,4251,0,1173,306,1122,643,359,241
13,NEMA2,2_3,10742,8787,541,321,358,4156,3922,116,1063,277,976,613,251,193
13,NEMA2,1_3,8782,6824,405,257,208,3605,3001,0,1002,208,792,373,335,173
14,NEMA2,1,13061,9671,784,409,99,2596,1774,0,898,186,0,0,525,343
14,NEMA2,2,19161,13937,1197,543,149,3302,2265,0,1297,327,0,0,746,393
14,NEMA2,3,18422,13773,1114,755,163,4569,3209,0,1638,346,12,0,987,513
14,NEMA2,1_2_3,3426,2584,178,58,19,511,305,0,263,77,0,0,152,87
14,NEMA2,1_2,18395,13286,1036,625,150,4136,2804,0,1673,332,0,0,967,500
14,NEMA2,2_3,13889,10266,790,466,120,3321,2273,0,1099,273,0,0,688,405
14,NEMA2,1_3,14272,10680,984,531,117,3256,2326,0,1127,216,0,0,698,398
15,NEMA2,1,12768,11413,525,1466,338,6644,4811,210,1302,338,687,598,94,0
15,NEMA2,2,9059,8225,438,973,298,5148,3434,147,937,201,523,496,74,0
15,NEMA2,3,12638,11669,588,1310,325,6484,4220,185,1107,253,677,609,30,0
15,NEMA2,1_2_3,11173,9974,495,1377,387,6230,4230,193,1349,287,684,634,71,0
15,NEMA2,1_2,11678,10493,500,1334,333,6482,4309,140,1036,236,638,593,91,0
15,NEMA2,2_3,10858,10145,551,1186,357,5300,3418,0,1156,219,633,519,0,0
15,NEMA2,1_3,11374,10300,560,1230,347,6240,4074,226,1198,232,655,645,0,0
16,NEMA2,1,18509,15509,676,91,30,213,448,0,307,168,430,209,489,498
16,NEMA2,2,18699,15664,660,78,0,230,343,0,326,157,350,171,480,426
16,NEMA2,3,20332,16693,717,99,17,260,482,0,337,173,440,200,478,441
16,NEMA2,1_2_3,18127,15210,686,57,0,177,325,0,265,110,367,184,455,416
16,NEMA2,1_2,18278,15457,605,68,22,212,472,0,319,135,407,194,427,475
16,NEMA2,2_3,20022,16742,684,83,0,222,445,0,368,148,414,190,483,428
16,NEMA2,1_3,17484,14606,604,115,24,218,401,0,318,140,344,163,477,405
17,NEMA2,1,4076,4530,0,2110,1510,14890,12618,902,1814,313,1831,1031,562,346
17,NEMA2,2,3710,4208,0,2322,1791,15528,13241,946,1809,299,1484,810,498,249
17,NEMA2,3,4153,4492,0,2264,1651,15472,13134,879,2056,302,1670,899,478,270
17,NEMA2,1_2_3,4046,4358,0,2429,1740,16128,13738,1029,1976,355,1478,795,526,273
17,NEMA2,1_2,3508,3746,0,1917,1351,13279,11324,782,1728,289,1413,773,458,250
17,NEMA2,2_3,3602,3864,0,1919,1377,13253,11557,821,1818,295,1632,905,460,229
17,NEMA2,1_3,4309,4887,0,2302,1684,15219,13231,958,2134,353,1938,1126,540,303